station_id,date,time,pm25_aqi,pm25_value,pm10_aqi,pm10_value,o3_aqi,o3_value,co_aqi,co_value,no2_aqi,no2_value,so2_aqi,so2_value,aqi,aqi_param
o20,2025-12-24,04:00,21,12.3,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,21,PM25
67t,2025-12-24,09:00,45,23.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,PM25
67t,2025-12-24,10:00,46,23.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,PM25
o20,2025-12-24,10:00,20,11.8,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,20,PM25
46t,2025-12-24,13:00,80,32.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,PM25
52t,2025-12-24,15:00,87,34.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,PM25
42t,2025-12-24,17:00,22,13.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,PM25
43t,2025-12-24,17:00,21,12.8,13,26,-1,-1,-1,-1,3,7,0,1,21,PM25
47t,2025-12-24,17:00,61,27.6,-1,-1,-1,-1,-1,-1,8,18,-1,-1,61,PM25
62t,2025-12-24,17:00,18,10.8,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,18,PM25
80t,2025-12-24,17:00,21,12.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,PM25
89t,2025-12-24,17:00,22,13.1,13,26,-1,-1,1,0.10,4,9,-1,-1,22,PM25
71t,2025-12-24,18:00,32,17.6,19,37,45,47,1,0.10,0,1,2,9,45,O3
bkp114t,2025-12-24,22:00,55,26.1,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,55,PM25
03t,2025-12-24,23:00,100,37.5,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,100,PM25
05t,2025-12-24,23:00,69,29.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,PM25
37t,2025-12-24,23:00,36,19.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,PM25
38t,2025-12-24,23:00,33,17.8,-1,-1,10,14,2,0.30,0,1,0,0,33,PM25
39t,2025-12-24,23:00,33,17.8,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,33,PM25
41t,2025-12-24,23:00,43,22.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,PM25
54t,2025-12-24,23:00,97,36.7,54,83,-1,-1,-1,-1,-1,-1,-1,-1,97,PM25
76t,2025-12-24,23:00,44,22.4,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,44,PM25
02t,2025-12-25,00:00,69,29.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,PM25
08t,2025-12-25,00:00,109,40.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,109,PM25
100t,2025-12-25,00:00,29,16.2,17,33,14,19,2,0.40,8,18,0,0,29,PM25
101t,2025-12-25,00:00,-1,-1,-1,-1,35,41,6,1.00,1,3,0,1,35,O3
102t,2025-12-25,00:00,28,16.0,25,49,13,18,-1,-1,2,4,0,1,28,PM25
103t,2025-12-25,00:00,44,22.6,24,47,18,25,4,0.70,-1,-1,0,0,44,PM25
104t,2025-12-25,00:00,104,38.9,-1,-1,25,35,2,0.30,11,26,0,1,104,PM25
105t,2025-12-25,00:00,25,14.9,-999,-1,10,14,2,0.30,3,8,0,1,25,PM25
106t,2025-12-25,00:00,42,21.8,-999,-1,2,3,2,0.40,2,4,0,0,42,PM25
107t,2025-12-25,00:00,66,28.8,26,51,19,26,3,0.50,3,7,1,2,66,PM25
108t,2025-12-25,00:00,45,23.1,-1,-1,20,28,8,1.40,3,6,0,1,45,PM25
109t,2025-12-25,00:00,58,26.8,-1,-1,9,12,2,0.40,3,6,1,2,58,PM25
110t,2025-12-25,00:00,39,20.4,-999,-1,15,21,-1,-1,2,5,0,1,39,PM25
111t,2025-12-25,00:00,28,15.8,-999,-1,18,25,2,0.40,-1,-1,-1,-1,28,PM25
112t,2025-12-25,00:00,23,13.9,-999,-1,10,14,1,0.20,4,10,0,1,23,PM25
113t,2025-12-25,00:00,42,21.7,20,40,15,21,3,0.60,0,0,0,1,42,PM25
114t,2025-12-25,00:00,48,24.2,23,46,10,14,5,0.80,5,12,0,1,48,PM25
115t,2025-12-25,00:00,24,14.4,14,27,28,37,2,0.30,-1,-1,-1,-1,28,O3
116t,2025-12-25,00:00,111,41.3,38,66,28,37,2,0.40,8,18,0,0,111,PM25
117t,2025-12-25,00:00,65,28.6,-999,-1,11,15,3,0.50,9,22,0,1,65,PM25
118t,2025-12-25,00:00,45,22.9,-1,-1,35,41,-1,-1,6,14,0,0,45,PM25
119t,2025-12-25,00:00,22,13.2,-1,-1,25,35,-1,-1,0,1,0,1,25,O3
120t,2025-12-25,00:00,16,9.8,-1,-1,16,23,3,0.50,3,6,1,2,16,PM25
121t,2025-12-25,00:00,18,10.7,-1,-1,21,29,1,0.20,0,1,0,1,21,O3
12t,2025-12-25,00:00,69,29.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,PM25
13t,2025-12-25,00:00,85,33.7,29,55,17,24,3,0.60,-1,-1,-1,-1,85,PM25
14t,2025-12-25,00:00,140,52.5,-1,-1,19,27,2,0.40,14,34,1,4,140,PM25
16t,2025-12-25,00:00,80,32.5,26,51,-1,-1,-1,-1,-1,-1,-1,-1,80,PM25
18t,2025-12-25,00:00,129,48.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,129,PM25
19t,2025-12-25,00:00,65,28.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,PM25
20t,2025-12-25,00:00,106,39.6,39,67,19,27,2,0.40,0,0,1,3,106,PM25
21t,2025-12-25,00:00,49,24.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,PM25
22t,2025-12-25,00:00,132,49.3,52,82,-1,-1,-1,-1,-1,-1,-1,-1,132,PM25
24t,2025-12-25,00:00,119,44.5,203,184,-1,-1,-1,-1,-1,-1,-1,-1,203,PM10
25t,2025-12-25,00:00,62,27.8,32,58,-1,-1,-999,-1,-1,-1,-999,-1,62,PM25
26t,2025-12-25,00:00,70,30.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,PM25
27t,2025-12-25,00:00,158,59.2,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,158,PM25
28t,2025-12-25,00:00,42,21.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,PM25
30t,2025-12-25,00:00,39,20.5,30,56,51,51,2,0.30,3,7,0,1,51,O3
31t,2025-12-25,00:00,43,22.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,PM25
32t,2025-12-25,00:00,46,23.4,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,46,PM25
33t,2025-12-25,00:00,73,30.6,-1,-1,-1,-1,-999,-1,-1,-1,-999,-1,73,PM25
34t,2025-12-25,00:00,28,15.8,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,28,PM25
35t,2025-12-25,00:00,48,24.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,PM25
36t,2025-12-25,00:00,46,23.4,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,46,PM25
40t,2025-12-25,00:00,33,18.0,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,33,PM25
50t,2025-12-25,00:00,90,34.9,-1,-1,-999,-1,-1,-1,-1,-1,-999,-1,90,PM25
53t,2025-12-25,00:00,91,35.3,-1,-1,-999,-1,-1,-1,-1,-1,-999,-1,91,PM25
57t,2025-12-25,00:00,51,25.1,16,31,-1,-1,-1,-1,-1,-1,-999,-1,51,PM25
58t,2025-12-25,00:00,10,5.7,10,20,-1,-1,-1,-1,-1,-1,-999,-1,10,PM10
59t,2025-12-25,00:00,49,24.7,22,43,21,30,5,0.90,20,49,-999,-1,49,PM25
60t,2025-12-25,00:00,40,20.8,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,40,PM25
61t,2025-12-25,00:00,66,28.9,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,66,PM25
68t,2025-12-25,00:00,78,32.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,PM25
69t,2025-12-25,00:00,38,20.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,PM25
70t,2025-12-25,00:00,40,21.0,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,40,PM25
72t,2025-12-25,00:00,36,19.3,16,32,-1,-1,-1,-1,0,0,-1,-1,36,PM25
73t,2025-12-25,00:00,49,24.7,-1,-1,-1,-1,-1,-1,-1,-1,0,0,49,PM25
74t,2025-12-25,00:00,63,28.1,22,43,-1,-1,-1,-1,-1,-1,-1,-1,63,PM25
75t,2025-12-25,00:00,32,17.5,-1,-1,-1,-1,-1,-1,1,2,1,3,32,PM25
77t,2025-12-25,00:00,54,25.9,23,45,-1,-1,-999,-1,-1,-1,-1,-1,54,PM25
78t,2025-12-25,00:00,16,9.8,-1,-1,-999,-1,-999,-1,-999,-1,-999,-1,16,PM25
79t,2025-12-25,00:00,61,27.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,PM25
81t,2025-12-25,00:00,102,38.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,102,PM25
82t,2025-12-25,00:00,136,51.0,64,91,11,15,3,0.60,13,32,0,1,136,PM25
83t,2025-12-25,00:00,24,14.4,15,30,-1,-1,-1,-1,-1,-1,-1,-1,24,PM25
84t,2025-12-25,00:00,110,41.1,38,66,25,35,-1,-1,-1,-1,-1,-1,110,PM25
85t,2025-12-25,00:00,91,35.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91,PM25
86t,2025-12-25,00:00,73,30.7,27,52,-1,-1,6,1.00,6,14,-1,-1,73,PM25
87t,2025-12-25,00:00,27,15.7,-1,-1,-1,-1,-1,-1,0,0,0,0,27,PM25
